PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
310,98199,Discovery Park,13,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Environmental Learning Center
310,98199,Discovery Park,58,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Hiking Trails
310,98199,Discovery Park,18,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Historic Landmark
310,98199,Discovery Park,33,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Paths
310,98199,Discovery Park,42,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Paths (ADA Compliant)
310,98199,Discovery Park,41,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Play Area (ADA Compliant)
310,98199,Discovery Park,26,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Rental Facility
310,98199,Discovery Park,27,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Restrooms
310,98199,Discovery Park,40,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Restrooms (ADA Compliant)
310,98199,Discovery Park,29,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Tennis Court (Outdoor)
2975,98102,Fairview Park,34,4 a.m. - 11:30 p.m.,View
310,98199,Discovery Park,34,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",View
